"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Nova, Iván","R","86","92.1",,"87.6",,,"41.3"
"Collins, Tim","L","86",,,"93.3",,"50.7","92.3"
"Poyner, Bobby","L","86",,,"93.4",,"15.3",
"Ríos, Yacksel","R","85.9","94",,,,"17.8","41.3"
"Berríos, José","R","85.9","94.1",,"82.1",,"72",
"López, Reynaldo","R","85.9",,,"82.2",,"22.4","37"
"Jackson, Luke","R","85.9",,,,,"30.4","69.2"
"Buehler, Walker","R","85.8","90.9","48.6","86.8",,"44.6","82.9"
"Drake, Oliver","R","85.8",,,,,,"71.9"
"Tanaka, Masahiro","R","85.8","86.9","51.5",,,"33","53.4"
"DeSclafani, Anthony","R","85.8","90.8",,"85.8",,"24.5","54.1"
"Carroll, Cody","R","85.7",,,,,"37",
"Colomé, Alex","R","85.5",,"33.7",,,,
"Middleton, Keynan","R","85.4",,,"93.8",,"17",
"Ramírez, Yefry","R","85.4","87.1",,"80.7",,"31.8",
"Lorenzen, Michael","R","85.3","89.3","29.6","81.9",,"22.5","72.8"
"Sale, Chris","L","85.3","95",,"94.8",,"67.4",
"Bradley, Archie","R","85.2","94.9",,,,,"67.1"
"McGuire, Deck","R","85.1",,,"83.9",,"36.1","88"
"Chen, Wei-Yin","L","85.1","93.3",,"82.1",,"36.6","63.6"
"Strasburg, Stephen","R","85.1","96.5",,"90.2",,"31.6","72.9"
"Faria, Jake","R","85.1",,,,,"23.8","54.4"
"Happ, J.A.","L","84.9","78.8",,"85.7",,"26.1","42"
"Guerra, Junior","R","84.9","92.9",,,,"29","49.8"
"Graves, Brett","R","84.9","82.3",,,,"36.5","60.4"
"Magill, Matt","R","84.9",,,"86",,"38.4","58.7"
"Roark, Tanner","R","84.8","92.4","58","87",,"30.1","89.3"
"Bush, Matt","R","84.8","94.3","37.4",,,,"69.6"
"Foltynewicz, Mike","R","84.7","93.5",,"91",,"24.9","35"
"LeBlanc, Wade","L","84.7","90.8","43.8","80.1",,,"65.6"
"Bauer, Trevor","R","84.7","89.5","28.4","88.5",,"63.1","95.4"
"Hildenberger, Trevor","R","84.7","86.3",,"73.4",,"38.9",
"Snell, Blake","L","84.6",,,"90.9",,"26.8","64.1"
"Jurado, Ariel","R","84.5","98.3",,"88.4",,"18.8","48"
"Hernández, Elieser","R","84.4",,,"87.6",,"35.9",
"Tepera, Ryan","R","84.4","93.3","28.4",,,"52.1",
"Gray, Jon","R","84.3",,,"83.8",,"32.4","49.3"
"Stewart, Brock","R","84.2","87.9",,"83.4",,"27.8",
"Beck, Chris","R","84.2",,,"87.6",,"27.5",
"González, Miguel","R","84.1","94.1",,,,"36.1","48.1"
"Milone, Tommy","L","84.1",,,"82.9",,"25.6",
"Buchholz, Clay","R","84","86.1","37.3","57.4",,,"81.6"
"Rondón, Bruce","R","83.9","93.1",,"95",,"21.3",
"Tuivailala, Sam","R","83.8","93.6",,,,"26.4","78.8"
"Peralta, Wandy","L","83.8","90.7",,"77.6",,"11.6",
"Sparkman, Glenn","R","83.8",,,"87.7",,"23","74.6"
"Shoemaker, Matt","R","83.8","91.2",,,,"19.2",
"Stumpf, Daniel","L","83.7","87.3",,"86.1",,"17.3",
"Alvarez, Jose","L","83.7","93.7","40.4","78.3",,"27.3","29.2"
"Minaya, Juan","R","83.7",,,"76.4",,"19.4","25.8"
"Schultz, Jaime","R","83.6",,,,,"20.2","85.6"
"McHugh, Collin","R","83.6",,"26.8",,,"75.9","85.9"
"Sobotka, Chad","R","83.5",,,,,"59",
"Giolito, Lucas","R","83.5","93",,"72.4",,"21.5","80.7"
"Clevinger, Mike","R","83.5",,,"93.3",,"75.4","79.7"
"Gohara, Luiz","L","83.5",,,,,"27",
"Kelly, Joe","R","83.4","94.9",,"87.8",,"33.5","81"
"Newcomb, Sean","L","83.4",,,"80.5",,"56.4","92.3"
"Rodriguez, Jefry","R","83.4","89.3",,"88.4",,,"44.1"
"Sewald, Paul","R","83.4","87",,"89.2",,"42.1",
"Floro, Dylan","R","83.4","91.7",,"81.9",,"24.7",
"Petit, Yusmeiro","R","83.4",,"68.8","86.4",,,"53.5"
"Altavilla, Dan","R","83.4",,,,,"34.1",
"Feliz, Michael","R","83.4","90",,"80.5",,"35",
"Finnegan, Brandon","L","83.3","89.4",,"80.4",,"26.3",
"Báez, Sandy","R","83.3",,,"87.4",,"23.2",
"Font, Wilmer","R","83.3","91.7",,,,"35.4","83.8"
"Cole, A.J.","R","83.3","91.1",,"90.6",,"22.2","20"
"Sherfy, Jimmie","R","83.2",,,,,"56.1",
"Rondón, Héctor","R","83.2","94.2",,"90.3",,"31.9",
"Littell, Zack","R","83.2","93.5",,"86.8",,"31.7","86.9"
"Smith, Will","L","83.1",,,,,"45.7","57.5"
"Fulmer, Carson","R","83",,"34.2","91.4",,,"45.7"
"Kimbrel, Craig","R","83",,,,,,"64.6"
"Tomlin, Josh","R","83","84.2","44.4","86.3",,,"71.2"
"Oswalt, Corey","R","83","90.5",,"72.2",,,"52.3"
"Kittredge, Andrew","R","82.9",,,"75.6",,"38.9",
"Norris, Bud","R","82.9","91.7","27.4",,,"36.8",
"Woodruff, Brandon","R","82.9","90.9",,"90.7",,"19.5",
"Chirinos, Yonny","R","82.9","93",,,,"30.5",
"Carrasco, Carlos","R","82.8","89.9",,"65",,"23.3","59.8"
"Green, Chad","R","82.7",,,,,"23.1",
"Bowman, Matt","R","82.6","92.5",,,,"58.1","79.8"
"Perdomo, Luis","R","82.6","91.1",,,,"14.8",
"Pagán, Emilio","R","82.6",,"21.8","90.7",,,
