entity_id,entity_name,entity_code,team_id,total_pitches,total_pitches,total_pitches_empty,median_seconds_empty,total_pitches_onbase,median_seconds_empty,freq_hot,freq_warm,freq_cold
675989,Cody Bolton,Pit,136,258,258,135,14.209,123,14.209,0.44573643410852715,0.5503875968992248,0.003875969
686218,Emmet Sheehan,Pit,119,435,435,312,14.218,123,14.218,0.4666666666666667,0.5333333333333333,0
547942,Kwang Hyun Kim,Pit,138,1172,1172,755,14.225,417,14.225,0.3924914675767918,0.5767918088737202,0.030716723549488054
650911,Cristopher Sánchez,Pit,143,1079,1079,721,14.228,358,14.228,0.40129749768303985,0.5801668211306765,0.018535681186283594
677960,Ryan Weathers,Pit,146,1377,1377,941,14.238,436,14.238,0.41830065359477125,0.5642701525054467,0.017429193899782137
502190,Mike Leake,Pit,109,3859,3859,2615,14.247,1244,14.247,0.4197978750971754,0.5527338688779476,0.027468256
682227,Brandon Williamson,Pit,113,881,881,605,14.249,276,14.249,0.4426787741203178,0.5539160045402951,0.003405221
663623,Jake Irvin,Pit,120,1112,1112,679,14.256,433,14.256,0.41276978417266186,0.585431655,0.001798561
669461,Matthew Liberatore,Pit,138,801,801,456,14.257,345,14.257,0.37203495630461925,0.6142322097378277,0.013732834
669084,DL Hall,Pit,158,338,338,156,14.258,182,14.258,0.3727810650887574,0.6124260355029586,0.014792899408284023
656212,Charlie Barnes,Pit,142,322,322,179,14.26,143,14.26,0.3447204968944099,0.6180124223602484,0.037267080745341616
676775,Keaton Winn,Pit,137,314,314,239,14.271,75,14.271,0.5095541401273885,0.49044585987261147,0
573064,Vidal Nuño,Pit,139,360,360,223,14.281,137,14.281,0.3888888888888889,0.6027777777777777,0.008333333
622491,Luis Castillo,Pit,136,7848,7848,5341,14.281,2507,14.281,0.4101681957186544,0.5711009174311926,0.018730886850152905
656605,Mitch Keller,Pit,134,3985,3985,2477,14.289,1508,14.289,0.36361355081555835,0.6153074027603513,0.021079046
678394,Brayan Bello,Pit,111,1719,1719,1004,14.297,715,14.297,0.37230948225712623,0.5840605002908668,0.043630017
445926,Jesse Chavez,Pit,144,3728,3728,2320,14.314,1408,14.314,0.37553648068669526,0.5946888412017167,0.029774678111587984
671111,Sammy Peralta,Pit,145,181,181,103,14.314,78,14.314,0.5248618784530387,0.47513812154696133,0
571945,Miles Mikolas,Pit,138,5810,5810,3955,14.33,1855,14.33,0.4056798623063683,0.5726333907056799,0.021686746987951807
642048,Tayler Saucedo,Pit,136,579,579,320,14.33,259,14.33,0.38860103626943004,0.5993091537132987,0.012089810017271158
669684,Chris Murphy,Pit,111,398,398,244,14.33,154,14.33,0.4221105527638191,0.5728643216080402,0.005025126
642239,Rob Zastryzny,Pit,134,367,367,185,14.337,182,14.337,0.33242506811989103,0.6512261580381471,0.016348774
681857,Reese Olson,Pit,116,851,851,596,14.338,255,14.338,0.45475910693301996,0.5440658049353702,0.001175088
642028,Josh Rogers,Pit,120,664,664,441,14.34,223,14.34,0.39156626506024095,0.5903614457831325,0.018072289156626505
543045,Adam Conley,Pit,139,1681,1681,1086,14.347,595,14.347,0.40095181439619276,0.5752528256989887,0.02379536
621261,Corey Oswalt,Pit,121,687,687,414,14.348,273,14.348,0.3508005822416303,0.611353712,0.037845706
674003,Cody Bradford,Pit,140,505,505,325,14.351,180,14.351,0.401980198,0.594059406,0.003960396
657277,Logan Webb,Pit,137,4847,4847,3227,14.354,1620,14.354,0.39158242211677324,0.584485249,0.023932329275840727
671131,Jackson Rutledge,Pit,120,157,157,96,14.361,61,14.361,0.3375796178343949,0.6560509554140127,0.006369427
