"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
645261,"Alcantara, Sandy","Pit",146,1061,1061,727,14.069,334,14.069,0.4816211121583412,0.5164938737040528,0.001885014137606032
450203,"Morton, Charlie","Pit",144,1361,1361,760,14.074,601,14.074,0.38501102130786186,0.6113152094048494,0.0036737692872887582
445926,"Chavez, Jesse","Pit",140,645,645,389,14.081,256,14.081,0.3751937984496124,0.5829457364341085,0.04186046511627907
666129,"Garrett, Braxton","Pit",146,1059,1059,751,14.105,308,14.105,0.45797922568460814,0.5410764872521246,0.0009442870632672333
592836,"Walker, Taijuan","Pit",121,1164,1164,818,14.105,346,14.105,0.43556701030927836,0.5335051546391752,0.030927835051546393
657006,"Steele, Justin","Pit",112,1096,1096,706,14.115,390,14.115,0.4343065693430657,0.5638686131386861,0.0018248175182481751
676272,"Miller, Bobby","Pit",119,850,850,584,14.128,266,14.128,0.4764705882352941,0.5176470588235295,0.0058823529411764705
547942,"Kim, Kwang Hyun","Pit",138,873,873,546,14.142,327,14.142,0.3848797250859107,0.581901489117984,0.033218785796105384
642558,"Jurado, Ariel","Pit",140,940,940,618,14.147,322,14.147,0.4106382978723404,0.5585106382978723,0.030851063829787233
641745,"Keller, Brad","Pit",118,1217,1217,803,14.148,414,14.148,0.4026294165981923,0.5653245686113394,0.03204601479046836
665795,"Cabrera, Edward","Pit",146,829,829,480,14.157,349,14.157,0.3956574185765983,0.6019300361881785,0.0024125452352231603
607625,"Lugo, Seth","Pit",135,1082,1082,730,14.173,352,14.173,0.466728280961183,0.532347504621072,0.0009242144177449168
657746,"Ryan, Joe","Pit",142,1052,1052,685,14.179,367,14.179,0.502851711026616,0.4923954372623574,0.004752851711026616
547179,"Lorenzen, Michael","Pit",113,583,583,343,14.18,240,14.18,0.4202401372212693,0.5591766723842195,0.02058319039451115
624133,"Suárez, Ranger","Pit",143,911,911,589,14.184,322,14.184,0.4226125137211855,0.5718990120746432,0.005488474204171241
474463,"Anderson, Brett","Pit",133,551,551,392,14.214,159,14.214,0.43738656987295826,0.5480943738656987,0.014519056261343012
621389,"Blach, Ty","Pit",137,928,928,591,14.214,337,14.214,0.3954741379310345,0.5905172413793104,0.014008620689655173
608566,"Márquez, Germán","Pit",115,1126,1126,817,14.248,309,14.248,0.43960923623445824,0.5328596802841918,0.027531083481349913
607229,"Gsellman, Robert","Pit",121,916,916,578,14.248,338,14.248,0.38427947598253276,0.5775109170305677,0.03820960698689956
663623,"Irvin, Jake","Pit",120,1024,1024,629,14.249,395,14.249,0.4189453125,0.580078125,0.0009765625
682227,"Williamson, Brandon","Pit",113,881,881,605,14.249,276,14.249,0.4426787741203178,0.5539160045402951,0.00340522133938706
548389,"Stripling, Ross","Pit",137,653,653,441,14.294,212,14.294,0.44104134762633995,0.55895865237366,0
608566,"Márquez, Germán","Pit",115,528,528,348,14.312,180,14.312,0.38636363636363635,0.5738636363636364,0.03977272727272727
571510,"Boyd, Matthew","Pit",116,539,539,348,14.318,191,14.318,0.3803339517625232,0.5788497217068646,0.04081632653061224
681857,"Olson, Reese","Pit",116,816,816,570,14.338,246,14.338,0.4534313725490196,0.5453431372549019,0.0012254901960784314
570632,"Ureña, José","Pit",146,1294,1294,906,14.347,388,14.347,0.419629057187017,0.5540958268933539,0.02627511591962906
543278,"Hardy, Blaine","Pit",116,647,647,446,14.381,201,14.381,0.4234930448222566,0.5625965996908809,0.013910355486862442
622491,"Castillo, Luis","Pit",113,1434,1434,1001,14.381,433,14.381,0.405160390516039,0.5788005578800558,0.01603905160390516
676596,"Fleming, Josh","Pit",139,761,761,482,14.383,279,14.383,0.3600525624178712,0.6202365308804205,0.01971090670170828
671096,"Abbott, Andrew","Pit",113,845,845,552,14.385,293,14.385,0.41420118343195267,0.5834319526627219,0.002366863905325444
663556,"McClanahan, Shane","Pit",139,747,747,512,14.386,235,14.386,0.48326639892904955,0.5153949129852744,0.0013386880856760374
669211,"Akin, Keegan","Pit",110,514,514,315,14.405,199,14.405,0.3540856031128405,0.6361867704280155,0.009727626459143969
593372,"Martinez, Carlos","Pit",138,611,611,389,14.41,222,14.41,0.37315875613747956,0.5761047463175123,0.05073649754500818
621366,"Borucki, Ryan","Pit",141,768,768,481,14.414,287,14.414,0.3671875,0.6106770833333334,0.022135416666666668
608566,"Márquez, Germán","Pit",115,1406,1406,1010,14.414,396,14.414,0.4096728307254623,0.5625889046941679,0.027738264580369845
