"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"López, Reynaldo","R","86.3",,,"81.9",,"21.9","31.3"
"Tomlin, Josh","R","86.3","87.3","41.3","83.1",,,"51.5"
"Wang, Wei-Chung","L","86.3",,,"81.1",,"28.9",
"Smeltzer, Devin","L","86.2",,"26.8","77.8",,,"71.3"
"Hernández, Elieser","R","86.2","86.9",,"84.3",,"69.2",
"Peralta, Wandy","L","86.2","91.9",,"87.8",,"16.5",
"Ginkel, Kevin","R","86.2",,,,,"20.3",
"Albers, Matt","R","86.2","94.1",,"83.4",,"27.5",
"Sale, Chris","L","86.1","94.2",,"94.4",,"65.4",
"Chavez, Jesse","R","86.1","95.1","50.1","91",,"35.7",
"Plutko, Adam","R","86.1",,"37.5","75.7",,,"55.9"
"Tanaka, Masahiro","R","86.1","83.9","35.8",,,"30.7","61"
"Morton, Charlie","R","86","95.2","22.8",,,,"88.5"
"Lucas, Josh","R","85.9","90.6",,,,"15.3",
"Sandoval, Patrick","L","85.9",,,"77.6",,"31.9","46.7"
"Kennedy, Ian","R","85.8",,"40.4",,,,"84.8"
"Parsons, Wes","R","85.7","89",,"85",,"23",
"Baez, Michel","R","85.7",,,"80.2",,"17.8",
"Weaver, Luke","R","85.6",,"38","72.5",,"26.7","48.5"
"Tepera, Ryan","R","85.6","95.6","30.7","69.2",,,
"Magill, Matt","R","85.6",,,,,"24.5","40.3"
"Wilson, Justin","L","85.6",,"44.1",,,"36.9",
"Drake, Oliver","R","85.6",,,,,,
"Shoemaker, Matt","R","85.6","93.3",,,,"14",
"López, Jorge","R","85.6","96",,"86.8",,"24.6","65.4"
"McHugh, Collin","R","85.6",,"29.5","86.8",,"71.7","81.6"
"Sobotka, Chad","R","85.5",,,,,"54.6",
"Kintzler, Brandon","R","85.5","91",,"90.6",,"14.1",
"Clevinger, Mike","R","85.4",,,"90.1",,"77.2","79.4"
"Font, Wilmer","R","85.4","92.7",,,,"32.6","76.8"
"Strasburg, Stephen","R","85.4","94.9",,"89.9",,,"68.5"
"Devenski, Chris","R","85.3",,,"82.7",,"45.8",
"Wood, Hunter","R","85.3",,,"86.2",,"34.9","80.3"
"Diekman, Jake","L","85.3","92.2",,,,"33.1",
"Green, Chad","R","85.2",,,,,"23.5",
"Wittgren, Nick","R","85.2",,,"71.5",,"27.9",
"Happ, J.A.","L","85.2","77.9",,"85.7",,"27.9","29.1"
"Vargas, Jason","L","85.2","86.6",,"87.1",,,"70.3"
"Phillips, Evan","R","85.1",,,"68.6",,"48",
"González, Gio","L","85.1","88",,"76.5",,,"91.9"
"Stumpf, Daniel","L","85.1",,,"92.2",,"21.6",
"Bass, Anthony","R","85","93.1",,,,"26.4",
"Castillo, Luis","R","85","96.5",,"84.6",,"10.4",
"Agrazal, Dario","R","85","89.7",,"87.7",,"12.1",
"Rodriguez, Jefry","R","84.9","91.3",,"89.2",,,"36"
"Faria, Jake","R","84.9",,,,,"22.6",
"Clarke, Taylor","R","84.9","86.2",,"90.4",,"26","63.7"
"Lyles, Jordan","R","84.9","92.9",,"86",,"30.6","77.9"
"Rainey, Tanner","R","84.9",,,,,"29.3",
"Ynoa, Gabriel","R","84.8","93.6",,"91.5",,"15.7","34"
"Floro, Dylan","R","84.8","91.4",,"86.1",,"26.2",
"Howard, Sam","L","84.8",,,,,"19.8",
"Bergen, Travis","L","84.8",,,,,,"69.7"
"Sims, Lucas","R","84.8",,,"78",,"52.7","57.2"
"Chafin, Andrew","L","84.7","93.1",,,,"10.6",
"Cashner, Andrew","R","84.7","91.2",,"81.2",,"22.5","73.2"
"Peña, Félix","R","84.6","94.2",,"88.4",,"13.8",
"Alvarez, Jose","L","84.6","93.2","39","80.2",,"29.4","32.8"
"Gray, Jon","R","84.6","83.3",,"77.2",,"24.9","64.1"
"Pagán, Emilio","R","84.5",,"21",,,,"70"
"Kimbrel, Craig","R","84.5",,,,,,"59.6"
"Barria, Jaime","R","84.5","89.4",,"82.1",,"30.7",
"Colomé, Alex","R","84.5",,"34.8","53.2",,,
"Morin, Mike","R","84.4","92.4",,"67.8",,"28.4",
"Chapman, Aroldis","L","84.4","91.1",,,,"51.7",
"Ramírez, Yefry","R","84.3","90.5",,"80.7",,"36.5",
"Foltynewicz, Mike","R","84.3","91.5",,"88.5",,"27.7","34.5"
