Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Francisco Lindor,NYM,52,233,7,29,24,6,0.068669527,0.163090128,0.157142857,0.221556886,0.209523809,0.278969957,0.366666666,0.283177365,,84.0713531,0.216158038,-4.229098909,6.001799457,0.991110038,Francisco Lindor,12916,596019
Connor Joe,PIT,47,188,6,29,22,2,0.090425531,0.191489361,0.178571429,0.322834645,0.279761904,0.351063829,0.458333333,0.351021222,,123.5470747,-0.155842293,5.146367092,-2.061245156,0.969575697,Connor Joe,16572,656582
Mike Tauchman,CHC,48,191,4,30,16,4,0.141361256,0.204188481,0.142857143,0.327731092,0.267080745,0.37696335,0.409937888,0.348878245,,126.3672689,0.355961867,6.387951397,-3.439733467,0.965938931,Mike Tauchman,15274,643565
J.T. Realmuto,PHI,44,191,7,27,20,1,0.057591623,0.246073298,0.168539326,0.352,0.286516853,0.329842931,0.455056179,0.338581155,,116.9958759,-0.83335684,3.054757085,-0.549055337,0.920509905,J.T. Realmuto,11739,592663
CJ Abrams,WSN,49,217,9,32,26,8,0.055299539,0.184331797,0.221105528,0.282894736,0.261306532,0.310185185,0.48241206,0.334003269,,114.8644483,0.103453028,3.966861178,-2.397443893,0.914678716,CJ Abrams,25768,682928
Alex Verdugo,NYY,52,213,7,26,28,1,0.089201877,0.10798122,0.170212766,0.257668711,0.260638297,0.323943661,0.430851063,0.32489393,,111.235232,-0.715693715,2.062505046,-0.222670108,0.912071905,Alex Verdugo,17027,657077
Thairo Estrada,SFG,54,218,8,32,31,1,0.036697247,0.183486238,0.179611651,0.25625,0.237864077,0.270642201,0.417475728,0.294501311,,90.07224734,0.097060079,-2.495145884,3.917641747,0.903068291,Thairo Estrada,16426,642731
Ryan Mountcastle,BAL,47,199,6,28,20,2,0.055276381,0.221105527,0.188172043,0.333333333,0.279569892,0.316582914,0.467741935,0.334853896,,120.54908,-0.042865192,4.704439712,-2.542940506,0.897560366,Ryan Mountcastle,18373,663624
Mark Canha,DET,49,203,6,26,22,1,0.123152709,0.21182266,0.162790698,0.292682926,0.244186046,0.359605911,0.406976744,0.337633935,,120.9633716,-0.01079974,4.929562991,-3.015146834,0.885775737,Mark Canha,11445,592192
Luis García Jr.,WSN,45,169,5,13,26,8,0.059171597,0.195266272,0.157232704,0.305785123,0.264150943,0.307692307,0.421383647,0.316068982,,102.7494158,0.827570688,1.384101463,1.38759958,0.87141967,Luis Garcia Jr.,20391,671277
Logan O'Hoppe,LAA,45,172,5,19,24,0,0.063953488,0.25,0.145569621,0.336363636,0.265822784,0.321637426,0.411392405,0.320279332,,105.9232787,-0.764530262,0.418217903,2.335592457,0.866695081,Logan O'Hoppe,24729,681351
Tyler O'Neill,BOS,41,172,11,29,17,1,0.127906976,0.337209302,0.263513514,0.303797468,0.236486486,0.343023255,0.5,0.355251831,,126.5339087,-0.499929357,4.798307186,-2.511843161,0.818716974,Tyler O'Neill,15711,641933
Shea Langeliers,OAK,48,178,11,20,27,1,0.073033707,0.241573033,0.27672956,0.212962962,0.213836477,0.280898876,0.490566037,0.320874049,,112.4531142,-0.862270436,1.711084203,-0.066778259,0.773164206,Shea Langeliers,25816,669127
Spencer Steer,CIN,52,216,6,26,35,11,0.134259259,0.175925925,0.175824176,0.258992805,0.23076923,0.347222222,0.406593406,0.331709892,,107.1841857,1.981592908,3.84022472,-3.63146771,0.771519731,Spencer Steer,26323,668715
Leody Taveras,TEX,51,192,4,23,12,5,0.083333333,0.177083333,0.137142857,0.291970802,0.251428571,0.314136125,0.388571428,0.307975974,,99.42896957,-0.048001821,-0.175282402,1.301267545,0.767486845,Leody Taveras,18900,665750
